time_sec,avg_rtt_ms
1,34.83
2,35.89
3,34.46
4,30.94
5,36.69
6,37.72
7,36.88
8,33.74
9,37.05
10,35.17
11,37.91
12,34.16
13,36.21
14,41.9
15,36.67
16,36.62
17,36.87
18,30.4
19,33.12
20,33.29
21,31.42
22,35.53
23,38.64
24,37.51
25,33.36
26,32.73
27,32.48
28,35.7
29,32.85
