time_sec,avg_rtt_ms
1,57.68
2,62.49
3,77.95
4,81.9
5,74.91
6,73.06
7,75.7
8,56.48
9,73.08
10,69.85
11,84.41
12,92.81
13,85.24
14,71.38
15,79.04
16,83.15
17,80.93
18,89.39
19,75.93
20,80.16
21,76.99
22,74.26
23,80.49
24,69.6
25,94.41
26,70.63
27,78.48
28,89.23
29,80.08
